Eilučių kiekis,Laikas (sekundėmis),Alic,Babel,lib3to2,Rector
100,,0.001560149104096708,0.5413424575000001,0.3843693027,0.6896899040000001
200,,0.0019507722866707266,0.6330335437000001,0.49668253250000005,0.7904999692000001
400,,0.0024423367612387624,0.7964206289,0.7194622931000001,0.9839632227000001
800,,0.0035944624133574,1.2866955684,1.1751767801000002,1.2953504181000002
1600,,0.006195962713780917,2.8481884404,2.0896682475999997,1.8978487759
3200,,0.011623823140740737,8.9113073707,3.9615928749,3.2019245417
6400,,0.022918816272727283,NaN,7.968367526,5.909364191
12800,,NaN,NaN,NaN,NaN
25600,,NaN,NaN,NaN,NaN
51200,,NaN,NaN,NaN,NaN